Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
234,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,315.16,387.21," 4,941 ",,,,,,,,,,,
235,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,402.38,494.38," 4,889 ",,,,,,,,,,,
236,CMI,University of Illinois/Willard,Champaign/Urbana,IL,423.70,520.58," 4,867 ",,,,,,,,,,,
237,RST,Rochester International,Rochester,MN,246.21,302.50," 4,832 ",,,,,,,,,,,
238,GUM,Guam International,Guam,TT,1380.54,1696.18," 4,466 ",,,,,,,,,,,
239,TOL,Eugene F Kranz Toledo Express,Toledo,OH,159.89,196.44," 4,355 ",,,,,,,,,,,
240,IAG,Niagara Falls International,Niagara Falls,NY,101.03,124.13," 4,190 ",,,,,,,,,,,
241,YUM,Yuma MCAS/Yuma International,Yuma,AZ,340.45,418.29," 4,071 ",,,,,,,,,,,
242,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,287.29,352.97," 3,955 ",,,,,,,,,,,
243,SCK,Stockton Metro,Stockton,CA,91.46,112.37," 3,948 ",,,,,,,,,,,
244,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,308.76,379.35," 3,911 ",,,,,,,,,,,
245,GRI,Central Nebraska Regional,Grand Island,NE,179.60,220.66," 3,849 ",,,,,,,,,,,
246,PSM,Portsmouth International at Pease,Portsmouth,NH,106.32,130.63," 3,847 ",,,,,,,,,,,
247,SIT,Sitka Rocky Gutierrez,Sitka,AK,363.96,447.17," 3,745 ",,,,,,,,,,,
248,CLL,Easterwood Field,College Station/Bryan,TX,292.20,359.01," 3,669 ",,,,,,,,,,,
249,PUW,Pullman Moscow Regional,Pullman,WA,305.88,375.82," 3,643 ",,,,,,,,,,,
250,HHH,Hilton Head Airport,Hilton Head,SC,297.67,365.73," 3,578 ",,,,,,,,,,,
251,FLG,Flagstaff Pulliam,Flagstaff,AZ,327.04,401.81," 3,507 ",,,,,,,,,,,
